CourseTitle,display,Description,CourseURL,Comp01,Comp01Level,Comp02,Comp02Level,Comp03,Comp03Level,Comp04,Comp04Level,Comp05,Comp05Level,Comp06,Comp06Level,Comp07,Comp07Level,Comp08,Comp08Level,Comp09,Comp09Level,Comp10,Comp10Level,Comp11,Comp11Level,Comp12,Comp12Level,Comp13,Comp13Level,Comp14,Comp14Level,Comp15,Comp15Level,Comp16,Comp16Level,Comp17,Comp17Level,Comp18,Comp18Level,Comp19,Comp19Level,Comp20,Comp20Level,Comp21,Comp21Level,TRAINURL,DateEdited,UserEdited,CourseID,Format,Cost,Duration,email,subjArea1,SubjArea2,subjArea3,original
Role of the Local Public Health Department,1,"This lecture is one of a series produced by the Allegheny County Health Department (PA), Bethlemem Health Bureau (PA), and the City of Elizabeth Department of Health and Senior Services (NJ).  This lecture discusses the 10 Essential Public Health Services and provides examples of public health responsibilities; offers an overview of goals and the organization of public health as well as roles of a local public health department.  Examples of the functions of public health are provided.",http://www.pitt.edu/~super1/lecture/lec1471/index.htm,1A1,K,6A1,K,6A4,K,5A1,,1B1,,5B1,,6A2,,7A1,,7A2,,6B1,,6B2,,7B1,,7B2,,6B4,,,,,,,,,,,,,,,,,,,22,Web-based Course,No charge,20-30 minutes,,11,20,39,0
A Model for Understanding Disparities in Health and Health Care,1,"Scott Commins and Dr. Raymond Greenberg's UPitt Supercourse offers a compelling review of factors contributing to health disparities.  These variables include race, gender and SES.  The authors present convincing data, however; there are no activities for the learner to engage in.",http://www.pitt.edu/~super1/lecture/lec3691/index.htm,1A1,K,6A4,K,6A7,K,6B4,,6B7,,1A1,,5A1,,1B1,,5B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Web-based Course,No Charge,20 minutes,,24,,,0
The History of Public Health,1,This course by Dr. Kristine Gebbie of Columbia University School of Nursing presents a thorough reveiw of basic public health terminology and reviews critical events in the development of public health.,http://www.pitt.edu/~super1/lecture/lec4171/index.htm,1A1,K,6A1,K,6A4,K,5A1,,1B1,,5B1,,6A2,,7A1,,7A2,,6B1,,6B2,,7B1,,7B2,,6B4,,,,,,,,,,,,,,,,,,,37,Web-based Course,No Charge,30 minutes,,39,11,,0
Health Promotion I. Part I,1,"Dennis Raphael of the School of Health Policy and Management, York University Toronto, Canada offers a two part health promotion module.  While some of his examples and slides may be difficult to comprehend via the web, he does an excellent job conveying three concepts of health and the various strategies, target populations, approaches and key players involved with each.  These concepts of health are: medical (traditional), behavioral (lifestyle), and socio-environmental (structural).  A section of part II of this lecture (http://www.pitt.edu/~super1/lecture/lec8461/index.htm) is dedicated to promoting a healthy community process (e.g. soliciting input from communities and other stakeholeders).",http://www.pitt.edu/~super1/lecture/lec8451/index.htm,1A1,K,6A4,K,8A4,K,5A1,,1B1,,5B1,,6B4,,8B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Web-based Course,No charge,15 minutes,,32,,,0
Public Health Services and System,1,"Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:

- Essential Public Health Services

- Core Functions

- Role of the Institute of Medicine

- Responsibilities of Public Health

Dr. Gebbie integrates ""factlets"" into the course which illustrate the development of public health.",http://www.pitt.edu/~super1/lecture/lec4191/index.htm,1A1,K,6A1,K,5A1,,1B1,,5B1,,6A2,,7A1,,7A2,,6B1,,6B2,,7B1,,7B2,,,,,,,,,,,,,,,,,,,,,,,39,Web-based Course,No Charge,25 minutes,,11,39,,0
Health Determinants and Health Promotion,1,"Diane B. Wilson, EdD, RD and Mary S. McLellan, MS, RD of the Medical University of South Carolina developed this course introducing concepts such as health promotion and disease prevention.  They present when and how prevention became part of health care and explain the determinants of health.  The course ends with discussion questions.",http://www.pitt.edu/~super1/lecture/lec4221/index.htm,1A1,K,6A4,K,5A1,,1B1,,5B1,,6B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Web-based Course,No charge,25 minutes,,32,,,0
Graduate Certificate: Public Health Fundamentals and Principles,1,"The University at Albany School of Public Health offers this certificate for working professionals. The certificate includes all 6 core courses in the MPH program: EPI 501 Principles and Methods of Epidemiology I; EPI 503 Principles of Public Health; STA 552 Principles of Statistical Inference I; HPM 500 Health Care Organization, Delivery and Financing; HPM 525 Social and Behavioral Aspects of Public Health; EHT 590 Introduction to Environmental Health.",http://www.albany.edu/sph/planofstudy.php ,1A1,P,6A1,P,6A5,P,6A4,P,6A6,P,6A7,P,5A1,,1B1,,5B1,,6A1,,6A2,,7A1,,7A2,,6B1,,6B2,,7B1,,7B2,,6B5,,6B4,,6B6,,6B7,,,,,58,Web-based Course,State University of New York Tuition and Fees,Six three-credit courses,,11,39,,0
Factors Influencing Accepting or Declining the Flu Shot,1,"Learning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives



1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  

2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.

Presented by Dr. Gretchen Chapman, Rutgers University",http://ophp.umdnj.edu/CET/Seminars/PHSS/ChapmanFlu.htm,1A1,K,1A1,K,6A4,K,1B1,,5A1,,1B1,,5B1,,6B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,Web-based Course,FREE,90 minutes,,14,32,,0
Measuring Health Disparities,1,,http://practice.sph.umich.edu/mphtc/site.php?module=courses_one_online_course&id=247,1A1,K,6A4,K,5A1,,1B1,,5B1,,6B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,CD/DVD-ROM,Free,3 hours,,8,24,,0
Epi for Everyone: Introduction to Epidemiology,1,,http://heartlandcenters.learnpublichealth.com/KView/CustomCodeBehind/Customization/DPH_PreviewPage.aspx?strItemType=CntLink&Id=C8B5704C11134FC784F94C287446E27B,1A1,K,6A5,K,6A4,K,5A1,,1B1,,5B1,,6B5,,6B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,CD/DVD-ROM,free,approximately 4 hours,,8,,,0
