Comp01,Comp01Level,Comp02,Comp02Level,Comp03,Comp03Level,Comp04,Comp04Level,Comp05,Comp05Level,Comp06,Comp06Level,Cost,CourseID,CourseTitle,CourseURL,DateEdited,Description,Duration,Format,SubjArea2,TRAINURL,UserEdited,competency_domain,display,email,id,label,original,subjArea1,subjArea3
1A1.Identifies the health status of populations and their related determinants of health and illness,K,6A1,K,6A4,K,5A1,,1B1,,5B1,,No charge,22,Role of the Local Public Health Department,http://www.pitt.edu/~super1/lecture/lec1471/index.htm,,"This lecture is one of a series produced by the Allegheny County Health Department (PA), Bethlemem Health Bureau (PA), and the City of Elizabeth Department of Health and Senior Services (NJ).  This lecture discusses the 10 Essential Public Health Services and provides examples of public health responsibilities; offers an overview of goals and the organization of public health as well as roles of a local public health department.  Examples of the functions of public health are provided.",20-30 minutes,Web-based Course,20,,,Analytical/Assessment Skills,1,,22,Role of the Local Public Health Department,0,General Public Health,39
1A1.Identifies the health status of populations and their related determinants of health and illness,K,6A4,K,6A7,K,6B4,,6B7,,1A1,,No Charge,29,A Model for Understanding Disparities in Health and Health Care,http://www.pitt.edu/~super1/lecture/lec3691/index.htm,,"Scott Commins and Dr. Raymond Greenberg's UPitt Supercourse offers a compelling review of factors contributing to health disparities.  These variables include race, gender and SES.  The authors present convincing data, however; there are no activities for the learner to engage in.",20 minutes,Web-based Course,,,,Analytical/Assessment Skills,1,,29,A Model for Understanding Disparities in Health and Health Care,0,Minority Health / Health Disparities,
1A1.Identifies the health status of populations and their related determinants of health and illness,K,6A1,K,6A4,K,5A1,,1B1,,5B1,,No Charge,37,The History of Public Health,http://www.pitt.edu/~super1/lecture/lec4171/index.htm,,This course by Dr. Kristine Gebbie of Columbia University School of Nursing presents a thorough reveiw of basic public health terminology and reviews critical events in the development of public health.,30 minutes,Web-based Course,11,,,Analytical/Assessment Skills,1,,37,The History of Public Health,0,Other,
1A1.Identifies the health status of populations and their related determinants of health and illness,K,6A4,K,8A4,K,5A1,,1B1,,5B1,,No charge,38,Health Promotion I. Part I,http://www.pitt.edu/~super1/lecture/lec8451/index.htm,,"Dennis Raphael of the School of Health Policy and Management, York University Toronto, Canada offers a two part health promotion module.  While some of his examples and slides may be difficult to comprehend via the web, he does an excellent job conveying three concepts of health and the various strategies, target populations, approaches and key players involved with each.  These concepts of health are: medical (traditional), behavioral (lifestyle), and socio-environmental (structural).  A section of part II of this lecture (http://www.pitt.edu/~super1/lecture/lec8461/index.htm) is dedicated to promoting a healthy community process (e.g. soliciting input from communities and other stakeholeders).",15 minutes,Web-based Course,,,,Analytical/Assessment Skills,1,,38,Health Promotion I. Part I,0,Prevention / Promotion,
1A1.Identifies the health status of populations and their related determinants of health and illness,K,6A1,K,5A1,,1B1,,5B1,,6A2,,No Charge,39,Public Health Services and System,http://www.pitt.edu/~super1/lecture/lec4191/index.htm,,Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.Dr. Kristine Gebbie from Columbia University's School of Nursing and Center for Health Policy has developed this user-friendly and well-organized course.  The course covers the following topics:- Essential Public Health Services- Core Functions- Role of the Institute of Medicine- Responsibilities of Public HealthDr. Gebbie integrates factlets into the course which illustrate the development of public health.,25 minutes,Web-based Course,39,,,Analytical/Assessment Skills,1,,39,Public Health Services and System,0,General Public Health,
1A1.Identifies the health status of populations and their related determinants of health and illness,K,6A4,K,5A1,,1B1,,5B1,,6B4,,No charge,46,Health Determinants and Health Promotion,http://www.pitt.edu/~super1/lecture/lec4221/index.htm,,"Diane B. Wilson, EdD, RD and Mary S. McLellan, MS, RD of the Medical University of South Carolina developed this course introducing concepts such as health promotion and disease prevention.  They present when and how prevention became part of health care and explain the determinants of health.  The course ends with discussion questions.",25 minutes,Web-based Course,,,,Analytical/Assessment Skills,1,,46,Health Determinants and Health Promotion,0,Prevention / Promotion,
1A1.Identifies the health status of populations and their related determinants of health and illness,P,6A1,P,6A5,P,6A4,P,6A6,P,6A7,P,State University of New York Tuition and Fees,58,Graduate Certificate: Public Health Fundamentals and Principles,http://www.albany.edu/sph/planofstudy.php ,,"The University at Albany School of Public Health offers this certificate for working professionals. The certificate includes all 6 core courses in the MPH program: EPI 501 Principles and Methods of Epidemiology I; EPI 503 Principles of Public Health; STA 552 Principles of Statistical Inference I; HPM 500 Health Care Organization, Delivery and Financing; HPM 525 Social and Behavioral Aspects of Public Health; EHT 590 Introduction to Environmental Health.",Six three-credit courses,Web-based Course,39,,,Analytical/Assessment Skills,1,,58,Graduate Certificate: Public Health Fundamentals and Principles,0,General Public Health,
1A1.Identifies the health status of populations and their related determinants of health and illness,K,1A1,K,6A4,K,1B1,,5A1,,1B1,,FREE,66,Factors Influencing Accepting or Declining the Flu Shot,http://ophp.umdnj.edu/CET/Seminars/PHSS/ChapmanFlu.htm,,"Learning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers UniversityLearning Objectives1) Increase understanding of the ways that lay people are rational or irrational in making decisions about preventive health behaviors such as vaccination.  2) Understand the implications of decision making research for health policies that could improve uptake of the flu shot.Presented by Dr. Gretchen Chapman, Rutgers University",90 minutes,Web-based Course,32,,,Analytical/Assessment Skills,1,,66,Factors Influencing Accepting or Declining the Flu Shot,0,Infectious Diseases / Immunizations,
1A1.Identifies the health status of populations and their related determinants of health and illness,K,6A4,K,5A1,,1B1,,5B1,,6B4,,Free,116,Measuring Health Disparities,http://practice.sph.umich.edu/mphtc/site.php?module=courses_one_online_course&id=247,,,3 hours,CD/DVD-ROM,24,,,Analytical/Assessment Skills,1,,116,Measuring Health Disparities,0,Epidemiology,
1A1.Identifies the health status of populations and their related determinants of health and illness,K,6A5,K,6A4,K,5A1,,1B1,,5B1,,free,152,Epi for Everyone: Introduction to Epidemiology,http://heartlandcenters.learnpublichealth.com/KView/CustomCodeBehind/Customization/DPH_PreviewPage.aspx?strItemType=CntLink&Id=C8B5704C11134FC784F94C287446E27B,,,approximately 4 hours,CD/DVD-ROM,,,,Analytical/Assessment Skills,1,,152,Epi for Everyone: Introduction to Epidemiology,0,Epidemiology,
